MedCodeId	Observations	Term
313280018	60	Incomplete great vessel transposition
801451000006114	60	Gerbode's defect
313396018	60	Congenital coronary aneurysm
4825241000006110	60	Pulmonary vein atresia
488481000006118	60	Aortic septal defect
50085019	60	Congenital mitral insufficiency
3378561000006116	60	Sinus of Valsalva aneurysm
315700015	60	[X]Congenital malformation of great arteries, unspecified
28728012	50	Congenital aneurysm of aorta
1228441015	50	Congenital tricuspid stenosis
143042017	50	Congenital absence of pulmonary artery
583691000006118	50	Congenital malformation of tricuspid valve, unspecified
102980010	50	Persistent truncus arteriosus
4824331000006114	50	Transposition of great arteries
476311019	50	Common atrioventricular canal
250411000006119	50	Parachute deformity of the mitral valve
355549012	50	Congenital heart disease in pregnancy
377247010	50	Anomalous termination of right pulmonary vein
371601000006119	50	[X]Congenital malformation of aortic and mitral valves unsp
2987731000006110	50	VSD - Ventricular septal defect
313435016	40	Other specified heart anomalies NOS
377498018	40	Dextraposition of aorta in Fallot's tetralogy
135999014	40	Cor biloculare
512130019	40	Congenital stricture of pulmonary artery
313442016	40	Anomalous ventricular bands
313342017	40	Other heart bulb and septal closure defect
1233859018	40	Congenital left ventricular diverticulum
313374012	40	Congenital aortic valve insufficiency NOS
313373018	40	Congenital aortic valve insufficiency, unspecified
406233012	40	Dextrotransposition of aorta
2803051000006118	40	Holt-Oram syndrome
313293011	40	Pentalogy of Fallot
574801000006118	40	Common aorto-pulmonary trunk
315548017	40	Situs inversus with levocardia
315680013	30	[X]Other congenital malformations of cardiac septa
892891000006111	30	Bulbus/septum heart anomalies
23643015	30	Preductal coarctation of aorta
2535810014	30	Congenital insufficiency of the pulmonary valve
60777016	30	Transposition of pulmonary veins
4824551000006110	30	PFO - Patent foramen ovale
313320018	30	Patent ostium secundum
313387018	30	Obstructive heart anomaly NEC
3640351000006119	30	ASD - Atrial septal defect
818401000006115	30	Heart and cardiac apex malposition
5777016	30	Uhl's disease
313509019	30	Anomaly of great veins, unspecified
247141000006114	30	Overriding aorta
439931000006111	30	Absent septum between aorta and pulmonary artery
313282014	30	Double outlet right ventricle NOS
5331151000006110	30	Arrhythmogenic right ventricular dysplasia
123842010	30	Kommerell's diverticulum
313424014	20	Congenital aneurysm of heart
407821000006118	20	[X]Other cong malformatn of cardiac chambers & connections
2959001000006118	20	Congenital anomaly of coronary artery
377218015	20	Transposition of arterial trunk NEC
377169013	20	Fusion of tricuspid valve cusps NEC
400812015	20	Other great vein anomalies
377194014	20	Cor triloculare biventriculare
313513014	20	Subdiaphragmatic total anomalous pulmonary venous return
3863421000006112	20	Corrected transposition of great vessels
595701000006118	20	Coronary artery from pulmonary trunk
313525012	20	Absence of superior vena cava
4824431000006119	20	Ventricular septal defect between left ventricle and right atrium
3528631000006110	20	Williams syndrome
4824451000006114	20	Ostium secundum type atrial septal defect
315690017	20	[X]Other congenital malformations of great arteries
106259013	20	Overriding aorta
408041000006117	20	[X]Other congenital malformations of aortic & mitral valves
4194101000006115	20	TAPVD - Total anomalous pulmonary venous drainage
315691018	20	[X]Other congenital malformations of great veins
377727015	20	Postductal aortic stenosis
313460016	20	Anomalous origin of the aortic arch
313423015	20	Congenital anomaly of myocardium
313397010	20	Congenital stricture of coronary artery
377798017	20	Congenital absence of pericardium
313427019	20	Congenital epicardial cyst
4824881000006116	20	Infundibular pulmonic stenosis
377306010	20	Interauricular septal defect
1235697018	20	Fused commissure of the mitral valve
313323016	20	Lutembacher's syndrome
3387281000006117	20	Pulmonary artery hypoplasia
4042761000006111	20	Muscular ventricular septum defect
3807401000006112	20	Roger's disease
752431000006116	10	Laevocardia
313514015	10	Supradiaphragmatic total anomalous pulmonary venous return
2616351000006116	10	Aortic coarctation
313388011	10	Obstructive heart anomaly NEC NOS
595691000006118	10	Anomalous origin of coronary artery from aorta
313428012	10	Hemicardia
641971000006114	10	Endocardial cushion defects NOS
377170014	10	Congenital insufficiency of heart valve NEC
313278012	10	Double outlet right ventricle, unspecified
4824781000006114	10	Ebstein's anomaly
315682017	10	[X]Other congenital malformations of tricuspid valve
483059013	10	Anomalous atrial bands
28816013	10	Aorticopulmonary septal defect
3610161000006113	10	PAPVD - Partial anomalous pulmonary venous drainage
507003013	10	Pulmonary artery agenesis
313378010	10	Congenital mitral stenosis NOS
229861000006114	10	Persistent truncus arteriosus
5331461000006116	10	LVOTO - Left ventricular outflow tract obstruction
2918441000006112	10	Transposition of the great arteries
377722014	10	Preductal aortic stenosis
3706511000006111	10	Anomalous origin of coronary artery from pulmonary trunk
313279016	10	Dextratransposition of aorta
40341000006116	10	Ostium primum type interauricular septal defect
29950011	10	Persistent ostium primum
574911000006110	10	Common truncus
585311000006117	10	Congenital stenosis of ascending aorta
968201000006114	9	Mental retardation, congenital heart disease, blepharophimosis, blepharoptosis and hypoplastic teeth
25281016	9	Abdominal heart
400803017	8	Pseudotruncus arteriosus
313530011	8	Other great vein anomaly NOS
3387271000006115	8	Congenital hypoplasia of pulmonary artery
4824831000006117	8	Parachute malformation of mitral valve
377638013	7	Tubular hypoplasia of aorta
4824471000006116	7	Atrial septal defect within oval fossa
2673881000006115	7	Congenital atresia of pulmonary artery
2918401000006110	7	Complete transposition of great vessels
4042771000006116	7	Muscular ventricular septal defect
4824341000006116	7	TGA - Transposition of great arteries
3234161000006110	6	Congenital superior vena cava stenosis
400804011	6	Fusion of heart valve cusps NEC
377723016	6	Preductal interruption of aorta
2943361000006119	6	Right sided heart
4194021000006112	6	Right aortic arch
3711951000006112	6	Diverticulum of Kommerell
3506871000006117	6	Common truncus arteriosus
3506861000006112	6	Common arterial trunk (truncus arteriosus)
313475012	6	Aplasia of aorta
313375013	6	Congenital mitral stenosis, unspecified
313418015	6	Hypoplasia of cardiac vein
5333731000006118	6	Congenital coronary artery calcification
2478726018	6	Atresia of cardiac vein
3902361000006111	6	Pulmonary artery absent
7360241000006116	6	Double outlet right ventricle with subpulmonary ventricular septal defect
3863451000006115	6	Discordant ventriculoarterial connection with discordant atrioventricular connection
313426011	5	Cor triloculare
5331991000006118	5	Pulmonary atresia with ventricular septal defect
315641017	5	Acardia
4824801000006113	5	Ebstein's malformation of tricuspid valve
9771010	5	Congenital absence of coronary artery
3378551000006118	5	Congenital aneurysm of sinus of Valsalva
3234311000006110	5	Single ventricle
2981781000006117	5	Congenital mitral regurgitation
5327781000006114	4	Double inlet ventricle
5331661000006119	4	Muscular ventricular septal defect in apical trabecular septum
5327821000006115	4	Double inlet left ventricle
5331161000006112	4	Arrhythmogenic right ventricular cardiomyopathy
5526281000006117	4	Congenital abnormality of thoracic aorta and pulmonary arteries
5330891000006115	4	Congenital abnormality of ventricles and ventricular septum
4019101000006113	4	Congenital malposition of subclavian artery
313512016	4	Unspecified anomaly of the great veins, NOS
313411014	4	Heart or cardiac apex malposition NOS
3711941000006110	4	Aortic diverticulum
4014091000006115	4	Congenital dilatation of pulmonary artery
313331014	4	Other specified endocardial cushion defects
2981761000006110	4	Congenital insufficiency of mitral valve
313440012	4	Anomalous bands of heart
63468011	3	Persistent left posterior cardinal vein
4013611000006117	3	Congenital atresia of inferior vena cava
3791981000006115	3	Congenital anomaly of aortic arch
3807421000006119	3	Maladie de Roger
313443014	3	Anomalous bands of heart NOS
5331501000006116	3	Multiple ventricular septal defects
5332341000006117	3	Pulmonary atresia with absent pulmonary artery
5329471000006114	3	Atrioventricular septal defect
5331171000006117	3	Right ventricular outflow tract abnormality
313332019	3	Endocardial cushion defects NOS
5331211000006115	3	RVOTO - Right ventricular outflow tract obstruction
313355016	3	Congenital fusion of pulmonary valve segment
5517361000006114	2	Anomalous communication of coronary artery
2544081000006116	2	Right ventricular hypoplasia
7316021000006117	2	Eisenmenger syndrome
7308101000006113	2	Left superior caval vein (SVC) persisting to left sided atrium
12321891000006112	2	Intellectual disability, congenital heart disease, blepharophimosis, blepharoptosis and hypoplastic teeth
5331511000006118	2	Restrictive ventricular septal defect
313469015	2	Persistent aortic arch convolutions
2709711000006116	2	CHD - Congenital heart disease
3524871000006115	2	Congenital atresia of tricuspid valve
377728013	2	Postductal interruption of aorta
2739271000006114	2	Congenital insufficiency of pulmonary valve
5333141000006112	2	Thoracic aortic coarctation
377731014	2	Postductal hypoplasia of aorta
5333301000006113	2	Major aortopulmonary collateral artery
5333531000006111	2	Anomalous origin of coronary artery from left pulmonary artery
3468611000006118	2	Anomalous pulmonary venous drainage
3339391000006110	2	Congenital malposition of cardiac apex
7345791000006116	2	Restrictive interatrial communication with obligatory shunt
3081991000006119	2	Pulmonary artery congenital abnormality
2981791000006119	2	MR - Congenital mitral regurgitation
313329017	2	Endocardial cushion defects, unspecified
574811000006115	2	Common aorto-pulmonary trunk NOS
2619021000006117	2	DORV - Double outlet right ventricle
5332141000006115	2	Eccentric opening of aortic valve
12126011000006114	2	Congenital anomaly of cardiac chamber
5056661000006110	2	Familial mitral valve prolapse
2540071000006110	2	Chiari's network
5328981000006112	2	Congenital abnormality of atrioventricular valves in atrioventricular septal defect
5329031000006119	2	Straddling tricuspid valve
5329321000006119	2	Double orifice of mitral valve
5329461000006119	2	Atrioventricular septal defect and common atrioventricular junction
4824811000006111	2	Ebstein anomaly of tricuspid valve
5095461000006114	2	Prune belly syndrome with pulmonic stenosis, mental retardation and deafness
5330731000006110	2	True cleft of left atrioventricular valve leaflet
5329491000006110	2	Atrioventricular septal defect - isolated ventricular component
505081012	2	Duroziez's disease
5330901000006116	2	Tetralogy of Fallot with pulmonary stenosis
4824871000006119	2	Subvalvar stenosis
7397441000006116	1	Anomalous origin of right coronary artery from left coronary artery aortic sinus and anomalous origin of left coronary artery from right coronary artery aortic sinus
2684861000006115	1	Congenital pulmonary vein stenosis
149796015	1	Congenital absence of aorta
5503471000006117	1	SVAS - Supravalvar aortic stenosis
5328371000006113	1	Ductus venosus abnormality
5328141000006115	1	Bilateral superior vena cava
8228121000006110	1	Fenestrated atrial septal defect within oval fossa
5327801000006113	1	Double inlet right ventricle
4019131000006117	1	Aberrant subclavian artery
12075111000006112	1	Congenital ventricular septal defect
4194041000006117	1	Congenital anomaly of pulmonary veins
2709701000006119	1	Congenital anomaly of heart
313429016	1	Supernumerary heart valve cusps NEC
3636249012	1	Congenital dysplasia of tricuspid valve
7372641000006112	1	Divided left atrium with some pulmonary veins to proximal chamber draining to left atrium and others connecting directly to left atrium
7842741000006116	1	Faciocardiorenal syndrome
5327651000006111	1	Congenital abnormality of cardiac connection
7301671000006119	1	Left superior caval vein persisting to coronary sinus
7301681000006116	1	Left superior caval vein (SVC) persisting to coronary sinus
7303961000006115	1	Congenital dilation of ascending aorta
2803061000006116	1	Holt Oram syndrome
7306461000006117	1	Atrioventricular septal defect with additional muscular ventricular septal defect
313377017	1	Supernumerary cusps of the mitral valve
7519871000006119	1	Ohdo syndrome, Say-Barber-Biesecker-Young-Simpson variant
7350151000006119	1	Atrioventricular septal defect with atrioventricular valve regurgitation
4824861000006114	1	Subvalvular stenosis
2770281000006118	1	AP - Aortopulmonary window
3725681000006119	1	Congenital anomaly of mitral valve
3852721000006116	1	Congenital tricuspid regurgitation
3852711000006112	1	Congenital insufficiency of tricuspid valve
5331381000006117	1	Abnormal left ventricular muscle band
5331441000006115	1	LVOT - Left ventricular outflow tract abnormality
377550012	1	Left ventricular outflow tract obstruction
3826471000006110	1	Congenital anomaly of inferior vena cava
3711931000006117	1	Thoracic aorta diverticulum
3711921000006115	1	Kommerell's diverticulum
5331951000006112	1	Pulmonary valve dysplasia
5331971000006119	1	Pulmonary atresia with intact ventricular septum
3703631000006112	1	Isolated dextrocardia
5332051000006117	1	Absent pulmonary valve syndrome
3648291000006116	1	Pseudocoarctation of aorta
5332221000006117	1	Quadricuspid aortic valve
3641321000006119	1	SVC - Superior vena cava abnormality
3641311000006110	1	Congenital anomaly of superior vena cava
5330581000006116	1	Left atrioventricular valve dysplasia
3513101000006111	1	Congenital inferior vena cava stenosis
377724010	1	Preductal hypoplasia of aorta
3508651000006113	1	HLH - Hypoplastic left heart syndrome
5329481000006112	1	AVSD - Atrioventricular septal defect
5333171000006116	1	Interrupted aortic arch distal to left subclavian artery
5329241000006119	1	Mucoid thickening of mitral valve
5333451000006117	1	Variant coronary origin from aortic sinus
5329231000006112	1	Mitral valve dysplasia
3285001000006119	1	Congenital atresia of cardiac vein
3175121000006117	1	Right sided atrium connecting to left ventricle
3175111000006113	1	Left ventricular-right atrial communication
229601000006112	1	Persistent left posterior cardinal vein
3776881000006112	1	True cleft of mitral leaflet
5328931000006111	1	Primum atrial septal defect
5328951000006116	1	Partial atrioventricular septal defect
